seed,arm,acc,n_correct,n_total,acc_stderr,has_per_question,model_path
3,7B-base,0.272727,54,198,0.031731,True,/home/zotar/models/Qwen2.5-7B
4,1.5B-ES,0.287879,57,198,0.032259,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
4,1.5B-RL,0.262626,52,198,0.031353,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
4,1.5B-base,0.237374,47,198,0.030314,True,Qwen/Qwen2.5-1.5B
4,7B-ES,0.252525,50,198,0.030954,True,/home/zotar/models/Qwen2.5-7B-ES-math
4,7B-RL,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
4,7B-base,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen2.5-7B
5,1.5B-ES,0.282828,56,198,0.032088,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
5,1.5B-RL,0.282828,56,198,0.032088,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
5,1.5B-base,0.257576,51,198,0.031156,True,Qwen/Qwen2.5-1.5B
5,7B-ES,0.242424,48,198,0.030533,True,/home/zotar/models/Qwen2.5-7B-ES-math
5,7B-RL,0.232323,46,198,0.030089,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
5,7B-base,0.222222,44,198,0.02962,True,/home/zotar/models/Qwen2.5-7B
6,1.5B-ES,0.212121,42,198,0.029127,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
6,1.5B-RL,0.217172,43,198,0.029377,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
6,1.5B-base,0.237374,47,198,0.030314,True,Qwen/Qwen2.5-1.5B
6,7B-ES,0.272727,54,198,0.031731,True,/home/zotar/models/Qwen2.5-7B-ES-math
6,7B-RL,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
6,7B-base,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen2.5-7B
7,1.5B-ES,0.252525,50,198,0.030954,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
7,1.5B-RL,0.262626,52,198,0.031353,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
7,1.5B-base,0.287879,57,198,0.032259,True,Qwen/Qwen2.5-1.5B
7,7B-ES,0.227273,45,198,0.029858,True,/home/zotar/models/Qwen2.5-7B-ES-math
7,7B-RL,0.222222,44,198,0.02962,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
7,7B-base,0.217172,43,198,0.029377,True,/home/zotar/models/Qwen2.5-7B
8,1.5B-ES,0.257576,51,198,0.031156,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
8,1.5B-RL,0.237374,47,198,0.030314,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
8,1.5B-base,0.237374,47,198,0.030314,True,Qwen/Qwen2.5-1.5B
8,7B-ES,0.262626,52,198,0.031353,True,/home/zotar/models/Qwen2.5-7B-ES-math
8,7B-RL,0.277778,55,198,0.031912,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
8,7B-base,0.277778,55,198,0.031912,True,/home/zotar/models/Qwen2.5-7B
9,1.5B-ES,0.227273,45,198,0.029858,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
9,1.5B-RL,0.222222,44,198,0.02962,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
9,1.5B-base,0.222222,44,198,0.02962,True,Qwen/Qwen2.5-1.5B
9,7B-ES,0.247475,49,198,0.030746,True,/home/zotar/models/Qwen2.5-7B-ES-math
9,7B-RL,0.217172,43,198,0.029377,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
9,7B-base,0.217172,43,198,0.029377,True,/home/zotar/models/Qwen2.5-7B
